onet_code,occupation_title,annual_10th,annual_25th,annual_median,annual_75th,annual_90th,data_source,data_year,bls_link
19-5012.00,"Occupational Health and Safety Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes195012.htm
21-1011.00,"Substance Abuse and Behavioral Disorder Counselors",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211011.htm
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211012.htm
21-1013.00,"Marriage and Family Therapists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211013.htm
21-1014.00,"Mental Health Counselors",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211014.htm
21-1015.00,"Rehabilitation Counselors",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211015.htm
21-1019.00,"Counselors, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211019.htm
21-1021.00,"Child, Family, and School Social Workers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211021.htm
21-1022.00,"Healthcare Social Workers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211022.htm
21-1023.00,"Mental Health and Substance Abuse Social Workers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211023.htm
21-1029.00,"Social Workers, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211029.htm
21-1091.00,"Health Education Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211091.htm
21-1092.00,"Probation Officers and Correctional Treatment Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211092.htm
21-1093.00,"Social and Human Service Assistants",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211093.htm
21-1094.00,"Community Health Workers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211094.htm
21-1099.00,"Community and Social Service Specialists, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes211099.htm
21-2011.00,"Clergy",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes212011.htm
21-2021.00,"Directors, Religious Activities and Education",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes212021.htm
21-2099.00,"Religious Workers, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes212099.htm
23-1011.00,"Lawyers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes231011.htm
23-1012.00,"Judicial Law Clerks",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes231012.htm
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes231021.htm
23-1022.00,"Arbitrators, Mediators, and Conciliators",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes231022.htm
23-1023.00,"Judges, Magistrate Judges, and Magistrates",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes231023.htm
23-2011.00,"Paralegals and Legal Assistants",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes232011.htm
23-2093.00,"Title Examiners, Abstractors, and Searchers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes232093.htm
23-2099.00,"Legal Support Workers, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes232099.htm
25-1011.00,"Business Teachers, Postsecondary",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes251011.htm
25-1021.00,"Computer Science Teachers, Postsecondary",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes251021.htm
25-1022.00,"Mathematical Science Teachers, Postsecondary",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes251022.htm
25-1031.00,"Architecture Teachers, Postsecondary",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes251031.htm
25-1032.00,"Engineering Teachers, Postsecondary",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes251032.htm
